crop_name,soil_type,rainfall,temperature,humidity,fertilizer_used,season,yield
Sugarcane,Loamy,76.33,29.95,23.07,Urea,Summer,26.03
Soybean,Loamy,831.78,20.94,75.82,Organic,Monsoon,40.5
Soybean,Clay,1020.44,25.89,90.24,Organic,Monsoon,28.15
Rice,Silt,55.76,41.4,30.1,DAP,Summer,10.0
Wheat,Sandy,205.64,38.22,36.09,DAP,Summer,13.39
Cotton,Loamy,210.76,36.66,45.85,Organic,Summer,21.8
Sugarcane,Loamy,409.23,25.76,60.66,Urea,Rabi,62.27
Cotton,Sandy,57.41,32.97,40.11,Compost,Summer,10.81
Sugarcane,Loamy,313.66,13.92,48.87,Organic,Rabi,43.99
Sugarcane,Black,213.86,38.86,26.87,NPK,Summer,22.18
Maize,Silt,647.69,33.31,86.29,DAP,Kharif,37.83
Sugarcane,Silt,942.87,21.4,88.62,Compost,Monsoon,48.76
Sugarcane,Black,1162.0,29.97,73.46,Compost,Monsoon,55.6
Wheat,Loamy,416.83,16.75,36.91,NPK,Rabi,26.17
Cotton,Black,976.2,23.37,86.54,DAP,Kharif,32.48
Sugarcane,Sandy,120.0,34.35,48.61,Urea,Summer,40.38
Maize,Black,1109.36,25.58,79.17,NPK,Kharif,44.06
Rice,Sandy,919.26,27.86,63.36,NPK,Kharif,45.27
Maize,Clay,451.2,25.15,37.57,Urea,Rabi,34.7
Wheat,Black,363.9,25.15,39.95,NPK,Rabi,33.76
Soybean,Silt,385.18,16.38,55.15,NPK,Rabi,31.17
Soybean,Silt,189.88,15.41,52.65,Urea,Rabi,24.1
Rice,Loamy,660.26,32.87,85.79,Urea,Kharif,42.28
Rice,Sandy,315.69,21.57,61.47,Compost,Rabi,39.97
Rice,Silt,137.73,20.54,45.63,Compost,Rabi,34.1
Sugarcane,Loamy,781.83,26.07,85.85,Urea,Kharif,55.04
Rice,Black,268.75,14.46,42.49,Compost,Rabi,31.86
Cotton,Black,956.5,28.49,60.44,Urea,Kharif,36.21
Rice,Clay,1281.36,28.65,92.56,Compost,Monsoon,30.51
Wheat,Silt,1085.25,26.97,88.26,DAP,Monsoon,34.83
Sugarcane,Silt,218.68,25.5,52.38,NPK,Rabi,54.05
Sugarcane,Sandy,908.92,28.03,85.58,Urea,Kharif,47.0
Soybean,Loamy,916.52,30.1,67.06,NPK,Kharif,41.52
Soybean,Clay,933.57,27.03,77.51,Organic,Kharif,38.48
Maize,Clay,206.25,12.09,54.37,DAP,Rabi,27.88
Wheat,Loamy,551.28,24.56,67.96,Compost,Kharif,46.24
Wheat,Clay,56.28,39.67,41.11,DAP,Summer,15.07
Sugarcane,Black,234.3,29.45,46.34,Urea,Summer,47.4
Wheat,Black,84.8,30.95,30.29,NPK,Summer,16.86
Maize,Black,228.23,39.85,22.77,Compost,Summer,10.0
Maize,Loamy,197.36,36.92,27.86,Urea,Summer,16.06
Soybean,Silt,578.31,33.34,80.73,Organic,Kharif,33.13
Wheat,Sandy,271.91,10.67,45.94,Organic,Rabi,15.35
Wheat,Sandy,366.77,15.66,51.8,NPK,Rabi,28.82
Soybean,Clay,490.48,22.97,61.44,NPK,Rabi,38.08
Sugarcane,Sandy,206.72,22.6,38.24,Compost,Rabi,39.59
Cotton,Clay,1149.66,28.21,91.78,NPK,Monsoon,24.22
Sugarcane,Clay,84.08,28.97,43.2,Compost,Summer,40.81
Soybean,Silt,236.02,29.61,49.11,Organic,Summer,27.69
Maize,Loamy,1145.69,27.86,80.91,Urea,Monsoon,45.11
Wheat,Silt,201.89,21.34,35.05,Organic,Rabi,24.59
Soybean,Clay,869.97,26.64,78.26,DAP,Monsoon,38.85
Wheat,Sandy,173.39,32.57,40.92,Organic,Summer,19.47
Rice,Silt,346.21,14.82,51.44,Compost,Rabi,32.33
Maize,Clay,126.95,34.19,26.41,Compost,Summer,11.36
Sugarcane,Clay,138.55,36.86,30.06,Urea,Summer,28.64
Rice,Sandy,158.94,10.74,64.52,NPK,Rabi,25.33
Wheat,Silt,387.34,16.14,46.99,Compost,Rabi,26.35
Sugarcane,Loamy,1018.84,28.04,87.4,Urea,Monsoon,53.7
Soybean,Clay,933.34,24.65,83.28,Urea,Monsoon,36.36
Maize,Silt,1630.57,25.48,92.43,Organic,Monsoon,20.27
Cotton,Silt,435.95,14.44,58.33,DAP,Rabi,26.89
Rice,Sandy,999.48,24.81,70.08,Compost,Kharif,44.5
Wheat,Clay,253.21,12.44,41.42,NPK,Rabi,19.03
